,mes,mes_int,valor_empenhado,valor_liquidado,valor_pago,cnpj
0,janeiro,1,25767670.71,3287758.88,2489706.82,355
1,fevereiro,2,10222003.42,4849767.7,5259661.61,404
2,março,3,5379808.56,7670447.9,7597458.46,446
